District_A;District_B
Aveiro          ;AVEIRO          
Beja            ;BEJA            
Braga           ;BRAGA           
Bragança        ;BRAGANCA        
Castelo Branco  ;CASTELO BRANCO  
Coimbra         ;COIMBRA         
Évora           ;EVORA           
Faro            ;FARO            
Guarda          ;GUARDA          
Leiria          ;LEIRIA          
Lisboa          ;LISBOA          
Portalegre      ;PORTALEGRE      
Porto           ;PORTO           
Santarém        ;SANTAREM        
Setúbal         ;SETUBAL         
Viana do Castelo;VIANA DO CASTELO
Vila Real       ;VILA REAL       
Viseu           ;VISEU           
